title,author,binding,in_stock,category,product_url,price_idr,original_price_idr,discount_percent
Days at the Morisaki Bookshop,"Yagisawa, Satoshi",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781786583239/days-at-the-morisaki-bookshop?path=1_32,258000.0,258000.0,0.0
The Housemaid,"McFadden, Freida",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781538742570/the-housemaid?path=1_32,258000.0,258000.0,0.0
Project Hail Mary,"Weir, Andy",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780593135228/project-hail-mary?path=1_32,225000.0,358000.0,37.0
Batman: Hush: DC Compact Comics Edition,"Loeb, Jeph",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781779527264/batman-hush-dc-compact-comics-edition?path=1_32,198000.0,198000.0,0.0
Strange Pictures,Uketsu,Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780063433083/strange-pictures?path=1_32,360000.0,360000.0,0.0
Strange Houses,Uketsu,Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780063433151/strange-houses?path=1_32,360000.0,360000.0,0.0
Madonna in a Fur Coat,"Ali, Sabahattin",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780241422267/madonna-in-a-fur-coat?path=1_32,225000.0,225000.0,0.0
Watchmen: DC Compact Comics Edition,"Moore, Alan",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781779527325/watchmen-dc-compact-comics-edition?path=1_32,198000.0,198000.0,0.0
An Offer from a Gentleman [Tv Tie-In]: Benedict's ...,"Quinn, Julia",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780063484948/an-offer-from-a-gentleman-tv-tie-in-benedict-s-story-the-inspiration-for-bridgerton-season-four?path=1_32,238000.0,238000.0,0.0
"Jujutsu Kaisen, Vol. 26","Akutami, Gege",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781974754977/jujutsu-kaisen-vol-26?path=1_32,238000.0,238000.0,0.0
There are Rivers in the Sky,"Shafak, Elif",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780241988749/there-are-rivers-in-the-sky?path=1_32,250000.0,250000.0,0.0
Good Material,"Alderton, Dolly",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780241993163/good-material?path=1_32,250000.0,250000.0,0.0
The Seven Year Slip,"Poston, Ashley",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780593336502/the-seven-year-slip?path=1_32,205000.0,290000.0,29.0
I Decided to Live as Me,Unknown Author,Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780593994917/i-decided-to-live-as-me?path=1_32,268000.0,268000.0,0.0
Supergirl: Woman of Tomorrow: DC Compact Comics,"King, Tom",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781799506904/supergirl-woman-of-tomorrow-dc-compact-comics?path=1_32,198000.0,198000.0,0.0
Happy Place,Emily Henry,Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780593817704/happy-place?path=1_32,235000.0,235000.0,0.0
All The Lovers In The Night,"Kawakami, Mieko",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781509898299/all-the-lovers-in-the-night?path=1_32,265000.0,265000.0,0.0
