title,author,binding,raw_price,original_price,discount_pct,in_stock,category,product_url
Days at the Morisaki Bookshop,"Yagisawa, Satoshi",Paperback,"Rp 258,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781786583239/days-at-the-morisaki-bookshop?path=1_32
The Housemaid,"McFadden, Freida",Paperback,"Rp 258,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781538742570/the-housemaid?path=1_32
Project Hail Mary,"Weir, Andy",Paperback,"Rp 225,000","Rp 358,000",-37%,1,Fiction & Literature,http://www.periplus.com/p/9780593135228/project-hail-mary?path=1_32
Batman: Hush: DC Compact Comics Edition,"Loeb, Jeph",Paperback,"Rp 198,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781779527264/batman-hush-dc-compact-comics-edition?path=1_32
Strange Pictures,Uketsu,Paperback,"Rp 360,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780063433083/strange-pictures?path=1_32
Strange Houses,Uketsu,Paperback,"Rp 360,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780063433151/strange-houses?path=1_32
Madonna in a Fur Coat,"Ali, Sabahattin",Paperback,"Rp 225,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780241422267/madonna-in-a-fur-coat?path=1_32
Watchmen: DC Compact Comics Edition,"Moore, Alan",Paperback,"Rp 198,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781779527325/watchmen-dc-compact-comics-edition?path=1_32
An Offer from a Gentleman [Tv Tie-In]: Benedict's ...,"Quinn, Julia",Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780063484948/an-offer-from-a-gentleman-tv-tie-in-benedict-s-story-the-inspiration-for-bridgerton-season-four?path=1_32
"Jujutsu Kaisen, Vol. 26","Akutami, Gege",Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781974754977/jujutsu-kaisen-vol-26?path=1_32
There are Rivers in the Sky,"Shafak, Elif",Paperback,"Rp 250,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780241988749/there-are-rivers-in-the-sky?path=1_32
Good Material,"Alderton, Dolly",Paperback,"Rp 250,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780241993163/good-material?path=1_32
The Seven Year Slip,"Poston, Ashley",Paperback,"Rp 205,000","Rp 290,000",-29%,1,Fiction & Literature,http://www.periplus.com/p/9780593336502/the-seven-year-slip?path=1_32
I Decided to Live as Me,,Paperback,"Rp 268,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593994917/i-decided-to-live-as-me?path=1_32
Supergirl: Woman of Tomorrow: DC Compact Comics,"King, Tom",Paperback,"Rp 198,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781799506904/supergirl-woman-of-tomorrow-dc-compact-comics?path=1_32
Happy Place,Emily Henry,Paperback,"Rp 235,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593817704/happy-place?path=1_32
All The Lovers In The Night,"Kawakami, Mieko",Paperback,"Rp 265,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781509898299/all-the-lovers-in-the-night?path=1_32
Superman: Birthright: DC Compact Comics Edition,"Waid, Mark",Paperback,"Rp 185,000","Rp 228,000",-19%,1,Fiction & Literature,http://www.periplus.com/p/9781799501916/superman-birthright-dc-compact-comics-edition?path=1_32
What You Are Looking for Is in the Library,"Aoyama, Michiko",Paperback,"Rp 250,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781804994139/what-you-are-looking-for-is-in-the-library?path=1_32
Everything I Know About Love,"Alderton, Dolly",Paperback,"Rp 275,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780241982105/everything-i-know-about-love?path=1_32
Days at the Torunka Café,"Yagisawa, Satoshi",Paperback,"Rp 258,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780063445857/days-at-the-torunka-caf?path=1_32
All-Star Superman: DC Compact Comics Edition,"Morrison, Grant",Paperback,"Rp 198,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781779527257/all-star-superman-dc-compact-comics-edition?path=1_32
The Boyfriend,"McFadden, Freida",Paperback,"Rp 255,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781728296227/the-boyfriend?path=1_32
The Housemaid Is Watching,"McFadden, Freida",Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781464280245/the-housemaid-is-watching?path=1_32
Every Summer After,"Fortune, Carley",Paperback,"Rp 185,000","Rp 334,000",-45%,1,Fiction & Literature,http://www.periplus.com/p/9780593438534/every-summer-after?path=1_32
Batman: Arkham Asylum: DC Compact Comics,"Morrison, Grant",Paperback,"Rp 198,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781799506997/batman-arkham-asylum-dc-compact-comics?path=1_32
Strange Houses,Uketsu,Paperback,"Rp 395,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781805335375/strange-houses?path=1_32
